Data_Perspective,Dataset,Perplexity,KL_Divergence
RP/,Madelon,40,2.775455951690674
RP/,Madelon,45,2.725808620452881
RP/,Madelon,50,2.644648551940918
RP/,Madelon,55,2.6028456687927246
RP/,Madelon,60,2.562927484512329
RP/,Madelon,65,2.5091392993927
BASE/,Cars,0,0.0
BASE/,Cars,5,0.519567608833313
BASE/,Cars,10,0.8599985837936401
BASE/,Cars,15,1.007908821105957
BASE/,Cars,20,1.149454951286316
BASE/,Cars,25,1.1893906593322754
BASE/,Cars,30,1.246340274810791
BASE/,Cars,35,1.279829502105713
BASE/,Cars,40,1.3153088092803955
BASE/,Cars,45,1.322377324104309
BASE/,Cars,50,1.3481980562210083
BASE/,Cars,55,1.3498204946517944
BASE/,Cars,60,1.330235242843628
BASE/,Cars,65,1.3625876903533936
BASE/,Madelon,0,0.0
BASE/,Madelon,5,3.499749183654785
BASE/,Madelon,10,3.679521322250366
BASE/,Madelon,15,3.550710201263428
BASE/,Madelon,20,3.493286609649658
BASE/,Madelon,25,3.411651611328125
BASE/,Madelon,30,3.401890754699707
BASE/,Madelon,35,3.3106353282928467
BASE/,Madelon,40,3.2302701473236084
BASE/,Madelon,45,3.2552123069763184
BASE/,Madelon,50,3.26027512550354
BASE/,Madelon,55,3.1200525760650635
BASE/,Madelon,60,3.1765661239624023
BASE/,Madelon,65,3.0823419094085693
PCA,Cars,0,0.755178689956665
PCA,Cars,5,0.10860078036785126
PCA,Cars,10,0.024543538689613342
PCA,Cars,15,-0.002569197211414576
PCA,Cars,20,0.0009695169283077119
PCA,Cars,25,-0.008926170878112316
PCA,Cars,30,-0.0041704331524670115
PCA,Cars,35,0.03768836706876755
PCA,Cars,40,0.06425536423921585
PCA,Cars,45,0.08453423529863358
PCA,Cars,50,0.08637402951717378
PCA,Cars,55,0.13335813581943512
PCA,Cars,60,0.14070585370063782
PCA,Cars,65,0.1717810332775116
PCA,Cars,70,0.18671151995658875
PCA,Cars,75,0.20094995200634005
PCA,Cars,80,0.23395250737667084
PCA,Cars,85,0.2339278757572174
PCA,Cars,90,0.2646547853946686
PCA,Cars,95,0.28038859367370605
PCA,Cars,100,0.29813051223754883
PCA,Cars,105,0.3156116604804993
PCA,Cars,110,0.3050197660923004
PCA,Cars,115,0.3208963274955749
PCA,Cars,120,0.34093788266181946
PCA,Cars,125,0.3250092566013336
PCA,Cars,130,0.3657879829406738
PCA,Cars,135,0.3554174304008484
PCA,Cars,140,0.3648638427257538
PCA,Cars,145,0.3738018572330475
PCA,Madelon,0,0.0
PCA,Madelon,5,1.1433615684509275
PCA,Madelon,10,1.2832984924316406
PCA,Madelon,15,1.3182687759399414
PCA,Madelon,20,1.34175443649292
PCA,Madelon,25,1.3454625606536863
PCA,Madelon,30,1.3328322172164917
PCA,Madelon,35,1.3268359899520874
PCA,Madelon,40,1.306153655052185
PCA,Madelon,45,1.307090163230896
PCA,Madelon,50,1.2894678115844729
PCA,Madelon,55,1.2804447412490845
PCA,Madelon,60,1.2703971862792969
PCA,Madelon,65,1.2590765953063965
PCA,Madelon,70,1.2582507133483891
PCA,Madelon,75,1.2312612533569336
PCA,Madelon,80,1.2182087898254397
PCA,Madelon,85,1.240537405014038
PCA,Madelon,90,1.2189351320266724
PCA,Madelon,95,1.191888451576233
PCA,Madelon,100,1.2119591236114502
PCA,Madelon,105,1.166976809501648
PCA,Madelon,110,1.1783939599990845
PCA,Madelon,115,1.1351659297943115
PCA,Madelon,120,1.1846556663513184
PCA,Madelon,125,1.1409605741500854
PCA,Madelon,130,1.1408997774124146
PCA,Madelon,135,1.127918362617493
PCA,Madelon,140,1.101696491241455
PCA,Madelon,145,1.1169943809509275
RF,Cars,0,0.0
RF,Cars,5,0.5168042182922363
RF,Cars,10,0.8633964657783508
RF,Cars,15,1.0047309398651123
RF,Cars,20,1.14115571975708
RF,Cars,25,1.197074294090271
RF,Cars,30,1.224176049232483
RF,Cars,35,1.2683444023132324
RF,Cars,40,1.307332158088684
RF,Cars,45,1.3342710733413696
RF,Cars,50,1.3401238918304443
RF,Cars,55,1.3357741832733154
RF,Cars,60,1.369757056236267
RF,Cars,65,1.3317278623580933
RF,Cars,70,1.3175036907196045
RF,Cars,75,1.3411885499954224
RF,Cars,80,1.3570709228515625
RF,Cars,85,1.350284218788147
RF,Cars,90,1.3510746955871582
RF,Cars,95,1.3336752653121948
RF,Cars,100,1.4016549587249756
RF,Cars,105,1.3835961818695068
RF,Cars,110,1.3326756954193115
RF,Cars,115,1.3357264995574951
RF,Cars,120,1.3429059982299805
RF,Cars,125,1.3002676963806152
RF,Cars,130,1.295668363571167
RF,Cars,135,1.3048242330551147
RF,Cars,140,1.328243851661682
RF,Cars,145,1.3059254884719849
RF,Madelon,0,0.0
RF,Madelon,5,1.0722460746765137
RF,Madelon,10,1.181760311126709
RF,Madelon,15,1.206779718399048
RF,Madelon,20,1.2000274658203125
RF,Madelon,25,1.192622184753418
RF,Madelon,30,1.189275145530701
RF,Madelon,35,1.1812641620635986
RF,Madelon,40,1.1745773553848269
RF,Madelon,45,1.1658333539962769
RF,Madelon,50,1.1506309509277344
RF,Madelon,55,1.1410776376724243
RF,Madelon,60,1.1443122625350952
RF,Madelon,65,1.1133838891983032
RF,Madelon,70,1.109390377998352
RF,Madelon,75,1.1019569635391235
RF,Madelon,80,1.0886763334274292
RF,Madelon,85,1.0629332065582275
RF,Madelon,90,1.097839117050171
RF,Madelon,95,1.0570272207260132
RF,Madelon,100,1.0537809133529663
RF,Madelon,105,1.0371625423431396
RF,Madelon,110,1.0226247310638428
RF,Madelon,115,1.0381436347961426
RF,Madelon,120,1.0162214040756226
RF,Madelon,125,0.999012529850006
RF,Madelon,130,0.9798648953437804
RF,Madelon,135,0.9779788255691528
RF,Madelon,140,0.982020616531372
RF,Madelon,145,0.9631496667861938
ICA,Cars,0,-3.692079408545731e-31
ICA,Cars,5,0.1062767431139946
ICA,Cars,10,0.14026860892772675
ICA,Cars,15,0.16712935268878934
ICA,Cars,20,0.20841790735721588
ICA,Cars,25,0.2692762613296509
ICA,Cars,30,0.3465509414672852
