,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,0.41154656410217283,0.14314275669713392,0.001181793212890625,0.00022169904605299663,0.001,"(50, 50)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50)}",0.4725274725274725,0.5714285714285714,0.5631868131868132,0.5,0.49725274725274726,0.5208791208791209,0.03918472380148446,19,0.9553571428571429,0.9567307692307693,0.9574175824175825,0.8935439560439561,0.9443681318681318,0.9414835164835165,0.024435110572044384
11,0.18198513984680176,0.011808696858547862,0.001108837127685547,0.00019872141513642893,0.001,"(50,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,)}",0.5714285714285714,0.5521978021978022,0.5412087912087912,0.49725274725274726,0.5247252747252747,0.5373626373626373,0.02515499591705405,14,0.7548076923076923,0.7074175824175825,0.7129120879120879,0.7190934065934066,0.7664835164835165,0.7321428571428571,0.023851312299705135
12,0.24142036437988282,0.04610583912354072,0.0010026454925537109,7.168434323488669e-07,0.001,"(25,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,)}",0.5604395604395604,0.5494505494505495,0.5302197802197802,0.5412087912087912,0.5741758241758241,0.5510989010989011,0.015206980772635208,5,0.9471153846153846,0.9237637362637363,0.853021978021978,0.8605769230769231,0.7252747252747253,0.8619505494505495,0.07724740301649721
13,0.2772035598754883,0.06494744117375555,0.0008023262023925781,0.00024522341952511504,0.001,"(25, 25)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25)}",0.5494505494505495,0.5659340659340659,0.5714285714285714,0.5247252747252747,0.5576923076923077,0.5538461538461539,0.016354808863887033,1,0.9423076923076923,0.9196428571428571,0.9519230769230769,0.8626373626373627,0.7321428571428571,0.8817307692307692,0.08096289483047774
14,0.376830005645752,0.045594531038793455,0.002207183837890625,0.0002466284849327146,0.001,"(100, 25, 100)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100)}",0.5467032967032966,0.5769230769230769,0.5357142857142857,0.5357142857142857,0.5247252747252747,0.5439560439560439,0.017888813841867784,10,0.8179945054945055,0.8784340659340659,0.7513736263736264,0.9354395604395604,0.9175824175824175,0.8601648351648352,0.06769149376918981
15,0.46156787872314453,0.17222727453916784,0.0015906333923339845,0.00020952061950718008,0.0001,"(50, 50)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50)}",0.4697802197802198,0.5741758241758241,0.5659340659340659,0.49725274725274726,0.49725274725274726,0.5208791208791209,0.041468048932116926,19,0.9546703296703297,0.9567307692307693,0.9574175824175825,0.8935439560439561,0.9443681318681318,0.941346153846154,0.02435854402109612
16,0.18609561920166015,0.015699529657023748,0.001009368896484375,1.2230292152155837e-05,0.0001,"(50,)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,)}",0.5714285714285714,0.5521978021978022,0.5412087912087912,0.49725274725274726,0.5247252747252747,0.5373626373626373,0.02515499591705405,14,0.7548076923076923,0.7074175824175825,0.7129120879120879,0.7190934065934066,0.7664835164835165,0.7321428571428571,0.023851312299705135
17,0.5021890640258789,0.31339491389716045,0.002908134460449219,0.002485064249089859,0.0001,"(25,)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,)}",0.5604395604395604,0.5494505494505495,0.5302197802197802,0.5412087912087912,0.5741758241758241,0.5510989010989011,0.015206980772635208,5,0.9471153846153846,0.9237637362637363,0.853021978021978,0.8605769230769231,0.7252747252747253,0.8619505494505495,0.07724740301649721
18,0.3166349411010742,0.07145420180066518,0.0011035442352294923,0.0002000816102464276,0.0001,"(25, 25)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25)}",0.5467032967032966,0.5631868131868132,0.5741758241758241,0.5192307692307693,0.5576923076923077,0.5521978021978022,0.018713611391127892,3,0.9423076923076923,0.9203296703296703,0.9526098901098901,0.9464285714285714,0.7321428571428571,0.8987637362637362,0.08401788830293627
19,0.3627823829650879,0.05333835252617082,0.0019008159637451173,0.00038027963966629787,0.0001,"(100, 25, 100)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100)}",0.5467032967032966,0.5769230769230769,0.5137362637362637,0.5439560439560439,0.5192307692307693,0.5401098901098901,0.022560950733678895,12,0.8179945054945055,0.8798076923076923,0.632554945054945,0.9354395604395604,0.9189560439560439,0.8369505494505495,0.1099077939067741
