,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
22,1.365833044052124,0.2559591710286065,0.0026072025299072265,0.0004912252633800422,0.1,"(50,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 45}",0.5384615384615384,0.5714285714285714,0.5521978021978022,0.532967032967033,0.47802197802197804,0.5346153846153846,0.0312559618754459,204,0.5432692307692307,0.5769230769230769,0.5528846153846154,0.5865384615384616,0.5611263736263736,0.5641483516483516,0.01572547246479526
23,1.3800708293914794,0.0435234136336256,0.003008413314819336,1.784161275279017e-07,0.1,"(50,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 50}",0.5741758241758241,0.6071428571428571,0.5824175824175825,0.521978021978022,0.5961538461538461,0.5763736263736263,0.029455879458637802,46,0.6071428571428571,0.6263736263736264,0.5934065934065934,0.5879120879120879,0.6064560439560439,0.6042582417582418,0.013320635079561152
24,1.4737200260162353,0.08442140315522176,0.003005647659301758,4.619663751519342e-06,0.1,"(50,)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 55}",0.5576923076923077,0.5961538461538461,0.5137362637362637,0.5302197802197802,0.5494505494505495,0.5494505494505495,0.02790862659164901,161,0.5467032967032966,0.6201923076923077,0.5199175824175825,0.625,0.5872252747252747,0.5798076923076924,0.04101465258714969
25,1.5655653476715088,0.05166061136799619,0.0030081748962402345,0.0006341438776039612,0.1,"(50,)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 60}",0.5,0.5,0.5631868131868132,0.5274725274725275,0.47802197802197804,0.5137362637362637,0.029281126581262036,241,0.5,0.5,0.5817307692307693,0.5982142857142857,0.5638736263736264,0.5487637362637362,0.041270558105124006
26,0.47466297149658204,0.02069120346434747,0.0020053863525390627,5.7220458984375e-07,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 2}",0.47527472527472525,0.5,0.5,0.5,0.5,0.4950549450549451,0.009890109890109898,260,0.4848901098901099,0.5,0.5,0.5,0.5,0.496978021978022,0.006043956043956045
27,0.47947301864624026,0.03886252718810611,0.0022058486938476562,0.0004010205319885914,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 5}",0.48626373626373626,0.5741758241758241,0.5741758241758241,0.5851648351648352,0.6401098901098901,0.5719780219780219,0.04934053696844757,67,0.49038461538461536,0.5625,0.5336538461538461,0.6126373626373627,0.6112637362637363,0.5620879120879121,0.04674085432324494
28,0.7497947692871094,0.1372656035527824,0.002406597137451172,0.0004910499523021646,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 10}",0.554945054945055,0.5631868131868132,0.5934065934065934,0.5769230769230769,0.5,0.5576923076923077,0.0316590336063471,139,0.5776098901098901,0.5590659340659341,0.6002747252747253,0.6071428571428571,0.5,0.5688186813186813,0.03838394842481872
29,0.8524680137634277,0.22018353251513398,0.0032086849212646486,0.0004007578002498039,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 15}",0.5,0.5769230769230769,0.5164835164835165,0.48626373626373626,0.5467032967032966,0.5252747252747253,0.03275573310063488,226,0.5,0.5968406593406593,0.5377747252747253,0.5508241758241759,0.5343406593406593,0.5439560439560439,0.031326512419815294
30,1.0293380737304687,0.07633382675009846,0.0040110588073730465,0.0015531132655945197,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 20}",0.6263736263736264,0.5412087912087912,0.489010989010989,0.5,0.5631868131868132,0.5439560439560439,0.04923641058729638,180,0.5961538461538461,0.5398351648351648,0.521978021978022,0.5,0.554945054945055,0.5425824175824175,0.03245946261042182
31,1.1015303134918213,0.16833779305232066,0.003007936477661133,0.0006341437879659076,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 25}",0.5,0.5769230769230769,0.5412087912087912,0.5412087912087912,0.5302197802197802,0.5379120879120879,0.024658028211337207,190,0.5,0.5782967032967034,0.5707417582417582,0.5563186813186813,0.5274725274725275,0.5465659340659341,0.029049518620131137
32,0.8929753780364991,0.006454698773234242,0.0026073455810546875,0.0004913421103940411,0.1,"(25,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 30}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,250,0.5,0.5,0.5,0.5,0.5,0.5,0.0
33,1.0726537227630615,0.05998064883952131,0.0026066780090332033,0.0008020044697616087,0.1,"(25,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 35}",0.5686813186813187,0.5796703296703297,0.5741758241758241,0.5521978021978022,0.5769230769230769,0.5703296703296703,0.0097672466124347,74,0.5501373626373627,0.5885989010989011,0.5762362637362637,0.6222527472527473,0.6064560439560439,0.5887362637362636,0.024833402154698474
34,1.1239902019500732,0.03467550716097072,0.0028070926666259764,0.00040111609770408346,0.1,"(25,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 40}",0.5741758241758241,0.5467032967032966,0.5631868131868132,0.5302197802197802,0.5851648351648352,0.5598901098901099,0.019534493224869436,133,0.5769230769230769,0.5281593406593407,0.5638736263736264,0.5947802197802198,0.5082417582417582,0.5543956043956044,0.03177028841067357
35,1.2950446605682373,0.0650874512052996,0.0028080463409423826,0.0007502909026870945,0.1,"(25,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 45}",0.5,0.6181318681318682,0.49725274725274726,0.5192307692307693,0.5439560439560439,0.5357142857142857,0.044468170484172106,198,0.5,0.6078296703296703,0.5185439560439561,0.5151098901098901,0.5439560439560439,0.5370879120879121,0.03808934909751202
