,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
39,0.07740535736083984,0.006218195733270377,0.0010024547576904298,2.431401974483864e-07,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 2}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,158,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
40,0.25748319625854493,0.05821175232805819,0.0014038562774658203,0.0005844678537366465,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 5}",0.6647398843930635,0.6242774566473989,0.7687861271676301,0.6473988439306358,0.7325581395348837,0.6875,0.054343760055722314,200,0.7575976845151954,0.768451519536903,0.7742402315484804,0.7713458755426917,0.7174855491329479,0.7578241720552438,0.020940486072948957
41,0.5331119537353516,0.3490407254117269,0.0010025978088378906,3.814697265625e-07,0.1,"(25, 25)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 10}",0.6994219653179191,0.7283236994219653,0.6502890173410405,0.7254335260115607,0.7674418604651163,0.7141203703703703,0.03861495222946094,138,0.7018813314037626,0.9413892908827786,0.7004341534008683,0.9630969609261939,0.9479768786127167,0.8509557230452641,0.12251278237345678
42,0.4909026622772217,0.08501660691093493,0.0011027336120605468,0.00020084415066247465,0.1,"(25, 25)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 15}",0.7167630057803468,0.7976878612716763,0.6936416184971098,0.8208092485549133,0.8313953488372093,0.7719907407407407,0.05614090136400584,35,0.9319826338639653,0.9363241678726484,0.9392185238784371,0.9782923299565847,0.9609826589595376,0.9493600629062346,0.017589321925470292
43,0.4808924674987793,0.05175898726429997,0.0011026859283447266,0.00020027166321163282,0.1,"(25, 25)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 20}",0.6907514450867052,0.8034682080924855,0.7890173410404624,0.7427745664739884,0.75,0.7552083333333334,0.039540765951680816,68,0.9638205499276411,0.9710564399421129,0.9739507959479016,0.9746743849493488,0.9819364161849711,0.973087717390395,0.005857787462017038
44,0.40166382789611815,0.06342514506056009,0.0010028362274169921,2.78041453115716e-07,0.1,"(25, 25)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 25}",0.7456647398843931,0.8583815028901735,0.7543352601156069,0.6589595375722543,0.502906976744186,0.7042824074074074,0.1186739616864958,153,0.975397973950796,0.9775687409551375,0.9848046309696092,0.9565846599131693,0.9855491329479769,0.9759810277473377,0.01047362860782092
45,0.3779026985168457,0.03567593719376562,0.0011029243469238281,0.0002003908937421167,0.1,"(25, 25)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 30}",0.7369942196531792,0.7658959537572254,0.7976878612716763,0.7630057803468208,0.6075581395348837,0.734375,0.0660961072605619,99,0.9732272069464544,0.9652677279305355,0.9710564399421129,0.9826338639652678,0.9841040462427746,0.975257857005429,0.007130759659804677
46,0.3611587047576904,0.05070279022231881,0.001002359390258789,3.814697265625e-07,0.1,"(25, 25)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 35}",0.7687861271676301,0.8208092485549133,0.8497109826589595,0.7861271676300579,0.8808139534883721,0.8211805555555556,0.04082464821848823,8,0.992040520984081,0.967438494934877,0.9768451519536903,0.9942112879884226,0.986271676300578,0.9833614264323296,0.009975142233309768
47,0.3688786506652832,0.04020314878414516,0.001504230499267578,0.0003174870605235088,0.1,"(25, 25)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 40}",0.7196531791907514,0.8294797687861272,0.7630057803468208,0.5549132947976878,0.627906976744186,0.6990740740740741,0.09735399611849638,169,0.983357452966715,0.9630969609261939,0.9811866859623734,0.9710564399421129,0.986271676300578,0.9769938432195946,0.008631682815233561
48,0.3602555274963379,0.049112671435674785,0.0017046928405761719,0.0005114360725957318,0.1,"(25, 25)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 45}",0.7427745664739884,0.7976878612716763,0.8294797687861272,0.6965317919075145,0.5290697674418605,0.7193287037037037,0.1052578617105449,121,0.9746743849493488,0.9667149059334298,0.9688856729377714,0.9862518089725036,0.9783236994219653,0.9749700944430038,0.0069825427398136014
