Clustering_Algorithm,N_Clusters,Dataset,Metric,Value,Data_Perspective
EM,5,Madelon,log-likelihood,-6.882414432571481,PCA
EM,10,Madelon,log-likelihood,-6.72523709399032,PCA
EM,15,Madelon,log-likelihood,-6.5927628297996295,PCA
EM,20,Madelon,log-likelihood,-6.4672408961126795,PCA
EM,25,Madelon,log-likelihood,-6.395748717712937,PCA
EM,30,Madelon,log-likelihood,-6.357368672114445,PCA
EM,35,Madelon,log-likelihood,-6.26486525883413,PCA
EM,40,Madelon,log-likelihood,-6.1961286964052436,PCA
EM,2,Cars,log-likelihood,-9.148834463661167,PCA
EM,5,Cars,log-likelihood,7.253656524130058,PCA
EM,10,Cars,log-likelihood,18.888580615704754,PCA
EM,15,Cars,log-likelihood,22.798410329440784,PCA
EM,20,Cars,log-likelihood,25.95906509199634,PCA
EM,25,Cars,log-likelihood,28.914530562914976,PCA
EM,30,Cars,log-likelihood,29.94253011521953,PCA
EM,35,Cars,log-likelihood,31.067224201907568,PCA
EM,40,Cars,log-likelihood,33.07749911466326,PCA
GMM,2,Cars,Accuracy,0.7002314814814815,PCA
Kmeans,2,Cars,Accuracy,0.7002314814814815,PCA
GMM,5,Cars,Accuracy,0.7002314814814815,PCA
Kmeans,5,Cars,Accuracy,0.7002314814814815,PCA
GMM,10,Cars,Accuracy,0.7002314814814815,PCA
Kmeans,10,Cars,Accuracy,0.7002314814814815,PCA
GMM,15,Cars,Accuracy,0.7002314814814815,PCA
Kmeans,15,Cars,Accuracy,0.7002314814814815,PCA
GMM,20,Cars,Accuracy,0.7048611111111112,PCA
Kmeans,20,Cars,Accuracy,0.7002314814814815,PCA
GMM,25,Cars,Accuracy,0.7100694444444444,PCA
Kmeans,25,Cars,Accuracy,0.7060185185185185,PCA
GMM,30,Cars,Accuracy,0.7146990740740741,PCA
Kmeans,30,Cars,Accuracy,0.7118055555555556,PCA
GMM,35,Cars,Accuracy,0.7285879629629629,PCA
Kmeans,35,Cars,Accuracy,0.7251157407407407,PCA
GMM,40,Cars,Accuracy,0.7233796296296297,PCA
Kmeans,40,Cars,Accuracy,0.7326388888888888,PCA
GMM,2,Cars,Mutual_Information,0.00767510249484507,PCA
Kmeans,2,Cars,Mutual_Information,0.0014829876515870131,PCA
GMM,5,Cars,Mutual_Information,0.033410614306536184,PCA
Kmeans,5,Cars,Mutual_Information,0.03941011464921927,PCA
GMM,10,Cars,Mutual_Information,0.0473505113235005,PCA
Kmeans,10,Cars,Mutual_Information,0.05978161951577296,PCA
GMM,15,Cars,Mutual_Information,0.05628637812368493,PCA
Kmeans,15,Cars,Mutual_Information,0.05396540932410535,PCA
GMM,20,Cars,Mutual_Information,0.06661456975309132,PCA
Kmeans,20,Cars,Mutual_Information,0.057059850160810686,PCA
GMM,25,Cars,Mutual_Information,0.0619600619451326,PCA
Kmeans,25,Cars,Mutual_Information,0.06178425348025225,PCA
GMM,30,Cars,Mutual_Information,0.06517909303393415,PCA
Kmeans,30,Cars,Mutual_Information,0.06261363358211723,PCA
GMM,35,Cars,Mutual_Information,0.07275193398909291,PCA
Kmeans,35,Cars,Mutual_Information,0.06919587426550837,PCA
GMM,40,Cars,Mutual_Information,0.06674236622772363,PCA
Kmeans,40,Cars,Mutual_Information,0.0690688373250832,PCA
GMM,2,Madelon,Accuracy,0.6153846153846154,PCA
Kmeans,2,Madelon,Accuracy,0.5082417582417582,PCA
GMM,5,Madelon,Accuracy,0.5357142857142857,PCA
Kmeans,5,Madelon,Accuracy,0.5406593406593406,PCA
GMM,10,Madelon,Accuracy,0.639010989010989,PCA
Kmeans,10,Madelon,Accuracy,0.6027472527472527,PCA
GMM,15,Madelon,Accuracy,0.7208791208791209,PCA
Kmeans,15,Madelon,Accuracy,0.6642857142857143,PCA
GMM,20,Madelon,Accuracy,0.7225274725274725,PCA
Kmeans,20,Madelon,Accuracy,0.7120879120879121,PCA
GMM,25,Madelon,Accuracy,0.7554945054945055,PCA
Kmeans,25,Madelon,Accuracy,0.7192307692307692,PCA
GMM,30,Madelon,Accuracy,0.7302197802197802,PCA
Kmeans,30,Madelon,Accuracy,0.7461538461538462,PCA
GMM,35,Madelon,Accuracy,0.7708791208791209,PCA
Kmeans,35,Madelon,Accuracy,0.7428571428571429,PCA
GMM,40,Madelon,Accuracy,0.7708791208791209,PCA
Kmeans,40,Madelon,Accuracy,0.7532967032967033,PCA
GMM,2,Madelon,Mutual_Information,0.03838900841279809,PCA
Kmeans,2,Madelon,Mutual_Information,-0.00020074571941616429,PCA
