mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,N_Components/Clusters/Features,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,Data_Perspective,Dataset,Clustering_Algorithm,Clustered_Data
0.3990743160247803,0.028572672002989238,0.005414342880249025,0.0012442165485822966,0.1,"(25, 25)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 20}",0.7818287037037037,0.03239364689536422,27,0.9794546732138226,0.011104711535093436,RF,Cars,None,0
0.3076285839080811,0.00992940664708573,0.005815839767456055,0.0011255679113212826,0.1,"(100, 25, 100)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 2}",0.6956018518518519,0.13687601769114646,176,0.7747505081853392,0.026895881897281572,RF,Cars,None,0
0.3529504299163818,0.047714965494828634,0.006416749954223633,0.0007369417682283207,0.1,"(100, 25, 100)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 4}",0.8020833333333334,0.05073534546909934,5,0.8365132211840092,0.021641609852860347,RF,Cars,None,0
0.401882266998291,0.04586237919981402,0.006517219543457031,0.0013449023314514598,0.1,"(100, 25, 100)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 6}",0.7228009259259259,0.08157651280669058,107,0.8697953874338105,0.016023093536864968,RF,Cars,None,0
0.4226375579833984,0.043068391659682334,0.00621633529663086,0.001292002686305299,0.1,"(100, 25, 100)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 8}",0.7291666666666666,0.06486227907821777,94,0.9011866023104658,0.007050248386506199,RF,Cars,None,0
0.4262518405914307,0.045759030021694735,0.0064753532409667965,0.0014699152547817016,0.1,"(100, 25, 100)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 10}",0.7251157407407407,0.06062689323325371,103,0.9204321875810376,0.01636317450251807,RF,Cars,None,0
0.44289207458496094,0.05327161166713817,0.00701904296875,0.0007090112053210001,0.1,"(100, 25, 100)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 12}",0.7309027777777778,0.04176771906184587,88,0.9322923550521568,0.030604072635932306,RF,Cars,None,0
0.48249936103820795,0.06477103397188115,0.006116247177124025,0.0015007600472439436,0.1,"(100, 25, 100)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 14}",0.7806712962962963,0.05282570326721119,30,0.9696180453895252,0.005277766581084488,RF,Cars,None,0
0.6035301685333252,0.13215146423485985,0.0055147171020507825,0.0008391071029479852,0.1,"(100, 25, 100)",16,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 16}",0.8026620370370371,0.07658496638513161,4,0.9918981036112527,0.012240450901120215,RF,Cars,None,0
0.5397566318511963,0.08996118954736455,0.005514669418334961,0.0007090112919076267,0.1,"(100, 25, 100)",18,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 18}",0.7997685185185185,0.058188589208716085,23,0.9943572605673272,0.00272345047052325,RF,Cars,None,0
0.5340406417846679,0.09387726264339352,0.006117057800292969,0.0007371168266589392,0.1,"(100, 25, 100)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 20}",0.7997685185185185,0.058188589208716085,23,0.9943572605673272,0.00272345047052325,RF,Cars,None,0
0.2157808780670166,0.013503162379841616,0.005815839767456055,0.0009825817325236745,0.01,"(50, 50)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.6956018518518519,0.13687601769114646,176,0.7747505081853392,0.026895881897281572,RF,Cars,None,0
0.27213282585144044,0.03087326508257642,0.006116437911987305,0.0008623930094494503,0.01,"(50, 50)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.8020833333333334,0.05073534546909934,5,0.8365132211840092,0.021641609852860347,RF,Cars,None,0
0.3592670440673828,0.03634925849989622,0.0067307472229003905,0.0005186526315174079,0.01,"(50, 50)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.6782407407407407,0.09841791200016094,189,0.8687802715340924,0.018350288177862304,RF,Cars,None,0
0.37299227714538574,0.017833069787299295,0.007018852233886719,0.0023936654954170946,0.01,"(50, 50)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.7332175925925926,0.07664742528098561,81,0.9000288599081502,0.005462129701150914,RF,Cars,None,0
0.3717036247253418,0.04637850716303009,0.0068181991577148425,0.0008742550535822572,0.01,"(50, 50)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.7164351851851852,0.04282600834809308,118,0.9165279439197612,0.019016303744376763,RF,Cars,None,0
0.3650115966796875,0.04952044002285133,0.006592035293579102,0.001388102837099983,0.01,"(50, 50)",12,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 12}",0.7280092592592593,0.03810383753659367,96,0.9480663861539362,0.016976147287094456,RF,Cars,None,0
0.934616231918335,0.3392738490234265,0.012232780456542969,0.0075276843666341985,0.01,"(50, 50)",14,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 14}",0.7320601851851852,0.03129568380570242,84,0.967446650995876,0.005343584420383533,RF,Cars,None,0
1.877956247329712,1.5039087903955268,0.02837610244750977,0.02856056016020841,0.01,"(50, 50)",16,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 16}",0.7609953703703703,0.046774029953544086,45,0.9835071898814652,0.010185489874694607,RF,Cars,None,0
0.4577322483062744,0.1687031446456901,0.005614995956420898,0.0009191385960140457,0.01,"(50, 50)",18,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 18}",0.7702546296296297,0.04842079020759429,37,0.9794615744962064,0.010360100243934632,RF,Cars,None,0
0.3913534641265869,0.04027123626952308,0.005715465545654297,0.00068007510494517,0.01,"(50, 50)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.7702546296296297,0.04842079020759429,37,0.9794615744962064,0.010360100243934632,RF,Cars,None,0
0.20515198707580568,0.010660757352706177,0.0045124530792236325,0.0007768182609285375,0.01,"(50,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 2}",0.7424768518518519,0.07899185110513278,72,0.7672360573182871,0.0389447287904305,RF,Cars,None,0
0.2615038871765137,0.011262220901814377,0.007019758224487305,0.001345241924985684,0.01,"(50,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 4}",0.8020833333333334,0.05073534546909934,5,0.8365132211840092,0.021641609852860347,RF,Cars,None,0
0.2274120807647705,0.019716632058039783,0.0059157848358154285,0.0012032509133546865,0.01,"(50,)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 6}",0.7060185185185185,0.0849627089671359,151,0.8324818266230561,0.03323785954481881,RF,Cars,None,0
0.31003484725952146,0.04818762754414509,0.00661773681640625,0.0005845497186993731,0.01,"(50,)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 8}",0.6215277777777778,0.08351378352201155,198,0.891347883188476,0.015321568272722191,RF,Cars,None,0
0.30792889595031736,0.016407234253013787,0.005214262008666992,0.0009300507191495556,0.01,"(50,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 10}",0.7303240740740741,0.04792992831105762,90,0.9061070075203066,0.015348144182258818,RF,Cars,None,0
0.33209381103515623,0.011487977951232731,0.005916023254394531,0.0003750948087118605,0.01,"(50,)",12,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 12}",0.7083333333333334,0.05763488418015971,142,0.9330222179466804,0.016349270055345727,RF,Cars,None,0
0.4541228294372559,0.16013930141711544,0.0065173149108886715,0.0010515289472429637,0.01,"(50,)",14,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 14}",0.7048611111111112,0.034559103450778075,157,0.9473453067097196,0.021951911554876042,RF,Cars,None,0
0.3820283889770508,0.0364559414822208,0.005415153503417969,0.0009186391225679899,0.01,"(50,)",16,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 16}",0.7152777777777778,0.05311695297932266,125,0.9723658014271016,0.008283736976822722,RF,Cars,None,0
0.440485954284668,0.03397011138950685,0.005715656280517578,0.0008739647828132365,0.01,"(50,)",18,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 18}",0.7517361111111112,0.04958109872853245,60,0.9787304568230676,0.005804714687404079,RF,Cars,None,0
0.4449980735778809,0.03648221282041093,0.0061165809631347655,0.000862432029411716,0.01,"(50,)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 20}",0.7517361111111112,0.04958109872853245,60,0.9787304568230676,0.005804714687404079,RF,Cars,None,0
0.16725029945373535,0.008075784456327784,0.006016397476196289,0.001186374439298467,0.01,"(25,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'filter__n': 2}",0.7002314814814815,0.0016237319954344998,168,0.7002317157842785,0.00040487523317969123,RF,Cars,None,0
0.2126723766326904,0.03475127288778886,0.004913568496704102,0.0006652683633168533,0.01,"(25,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'filter__n': 4}",0.7552083333333334,0.06954896945104479,52,0.7987542139648495,0.0526408506997711,RF,Cars,None,0
0.2220978736877441,0.02206383072453336,0.0051135063171386715,0.000862575968802904,0.01,"(25,)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'filter__n': 6}",0.6359953703703703,0.095774756769563,193,0.8289849677521897,0.04283407322753923,RF,Cars,None,0
0.27333903312683105,0.02335842877157554,0.005715465545654297,0.0008738716679629675,0.01,"(25,)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'filter__n': 8}",0.7216435185185185,0.09771808986806486,112,0.8820964004584123,0.012960271235891966,RF,Cars,None,0
0.308530855178833,0.05735480453788419,0.005615043640136719,0.0009723232011107156,0.01,"(25,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'filter__n': 10}",0.6817129629629629,0.0648556086843268,185,0.8803708707327071,0.033780383669772214,RF,Cars,None,0
0.3415233135223389,0.03641972860949344,0.005314111709594727,0.0006801736166362744,0.01,"(25,)",12,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'filter__n': 12}",0.7008101851851852,0.039639868846243716,164,0.9298421906761584,0.02231171055554232,RF,Cars,None,0
0.326278018951416,0.06352564688275733,0.0065176963806152345,3.5040231839893024e-07,0.01,"(25,)",14,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'filter__n': 14}",0.7089120370370371,0.02324732526836657,141,0.9143736981671868,0.04406635331448879,RF,Cars,None,0
0.38493857383728025,0.03853490315268162,0.005815839767456055,0.000511239877871424,0.01,"(25,)",16,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'filter__n': 16}",0.7268518518518519,0.07043321028280057,99,0.9535543695573978,0.015745329075549694,RF,Cars,None,0
0.33379855155944826,0.04705503536546775,0.005414295196533203,0.0009724560047509221,0.01,"(25,)",18,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'filter__n': 18}",0.7164351851851852,0.08336655197719554,118,0.952254209782254,0.02657453093253856,RF,Cars,None,0
0.3353024959564209,0.04293096903998436,0.005214071273803711,0.0010798282465266443,0.01,"(25,)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'filter__n': 20}",0.7164351851851852,0.08336655197719554,118,0.952254209782254,0.02657453093253856,RF,Cars,None,0
0.22550644874572756,0.034830591809857966,0.005615282058715821,0.0009187431704773641,0.01,"(25, 25)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 2}",0.7424768518518519,0.07899185110513278,72,0.7672360573182871,0.0389447287904305,RF,Cars,None,0
0.2465643405914307,0.009933912616548224,0.005814838409423828,0.0007500937596331747,0.01,"(25, 25)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 4}",0.7592592592592593,0.1201645255671141,48,0.8200181106380129,0.014695668484567503,RF,Cars,None,0
0.2994095802307129,0.04050764123231955,0.006116390228271484,0.0008624262635325104,0.01,"(25, 25)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 6}",0.7013888888888888,0.0988847074240818,161,0.8653091356248378,0.011586975500317051,RF,Cars,None,0
0.32918610572814944,0.01651698513324714,0.005314493179321289,0.0008153914373520457,0.01,"(25, 25)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 8}",0.7129629629629629,0.07003683873655214,130,0.8980028107040982,0.004920706842377449,RF,Cars,None,0
0.3437277793884277,0.03439187021648723,0.005715465545654297,0.0009297318844322223,0.01,"(25, 25)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 10}",0.7077546296296297,0.05214646877343177,147,0.9130509523769688,0.011352345315843731,RF,Cars,None,0
0.34542999267578123,0.0137777311960173,0.005715322494506836,0.0010324757504555466,0.01,"(25, 25)",12,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 12}",0.7228009259259259,0.044157022133058284,107,0.93562191010766,0.009130907716034385,RF,Cars,None,0
0.37039694786071775,0.02744246838593804,0.005815744400024414,0.0006800682075559298,0.01,"(25, 25)",14,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 14}",0.6921296296296297,0.06120397432933083,184,0.9612246221025068,0.006178284340317585,RF,Cars,None,0
0.4069956779479981,0.05242471219313101,0.005214309692382814,0.0006798292398657509,0.01,"(25, 25)",16,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 16}",0.7447916666666666,0.05508385096552123,70,0.9736640790343224,0.012331109317978414,RF,Cars,None,0
0.3928580284118652,0.017555879488940215,0.0056151866912841795,0.00102236255753526,0.01,"(25, 25)",18,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 18}",0.7783564814814815,0.03365731827253336,31,0.9764153902779752,0.010545076707724605,RF,Cars,None,0
