Data_Perspective,Dataset,N_Components,Metric,Value
PCA,Madelon,143,Explained_Variance,1.293775687630009
PCA,Madelon,144,Explained_Variance,1.2908484002572451
PCA,Madelon,145,Explained_Variance,1.2888694918963313
PCA,Madelon,146,Explained_Variance,1.28286156525619
PCA,Madelon,147,Explained_Variance,1.274269538735187
PCA,Madelon,148,Explained_Variance,1.2717557441769918
PCA,Madelon,149,Explained_Variance,1.2645968280872342
PCA,Madelon,150,Explained_Variance,1.2625293321037259
PCA,Madelon,151,Explained_Variance,1.2575661290704738
PCA,Madelon,152,Explained_Variance,1.2531693411480571
PCA,Madelon,153,Explained_Variance,1.25195943552455
PCA,Madelon,154,Explained_Variance,1.2484126006985663
PCA,Madelon,155,Explained_Variance,1.2441509540320603
PCA,Madelon,156,Explained_Variance,1.2380900687986924
PCA,Madelon,157,Explained_Variance,1.2332150135249123
PCA,Madelon,158,Explained_Variance,1.2307830320027682
PCA,Madelon,159,Explained_Variance,1.2294730683312476
PCA,Madelon,160,Explained_Variance,1.2248009217318778
PCA,Madelon,161,Explained_Variance,1.221010764890991
PCA,Madelon,162,Explained_Variance,1.2162567323117082
PCA,Madelon,163,Explained_Variance,1.2094334619389986
PCA,Madelon,164,Explained_Variance,1.206687709833623
PCA,Madelon,165,Explained_Variance,1.2054939894056425
PCA,Madelon,166,Explained_Variance,1.2010868186476704
PCA,Madelon,167,Explained_Variance,1.19450893177225
PCA,Madelon,168,Explained_Variance,1.1925650287598788
PCA,Madelon,169,Explained_Variance,1.1904080997073685
PCA,Madelon,170,Explained_Variance,1.1819866542211837
PCA,Madelon,171,Explained_Variance,1.1756955254535373
PCA,Madelon,172,Explained_Variance,1.1737395838437852
PCA,Madelon,173,Explained_Variance,1.1692036615994894
PCA,Madelon,174,Explained_Variance,1.1676211694306329
PCA,Madelon,175,Explained_Variance,1.1613926404105948
PCA,Madelon,176,Explained_Variance,1.1559875084163378
PCA,Madelon,177,Explained_Variance,1.151487191963518
PCA,Madelon,178,Explained_Variance,1.149811444237728
PCA,Madelon,179,Explained_Variance,1.1457777544998975
PCA,Madelon,180,Explained_Variance,1.1427903406777713
PCA,Madelon,181,Explained_Variance,1.1369075886508204
PCA,Madelon,182,Explained_Variance,1.1339704283132712
PCA,Madelon,183,Explained_Variance,1.1287764740088269
PCA,Madelon,184,Explained_Variance,1.1246538383713502
PCA,Madelon,185,Explained_Variance,1.1208713391840384
PCA,Madelon,186,Explained_Variance,1.119153353284614
PCA,Madelon,187,Explained_Variance,1.1103662329747586
PCA,Madelon,188,Explained_Variance,1.1098732650742902
PCA,Madelon,189,Explained_Variance,1.1072530719995997
PCA,Madelon,190,Explained_Variance,1.103909241074414
PCA,Madelon,191,Explained_Variance,1.1011693521438437
PCA,Madelon,192,Explained_Variance,1.0983219235251775
PCA,Madelon,193,Explained_Variance,1.0934914737053092
PCA,Madelon,194,Explained_Variance,1.0889454780036558
PCA,Madelon,195,Explained_Variance,1.0851320225433894
PCA,Madelon,196,Explained_Variance,1.082856468260035
PCA,Madelon,197,Explained_Variance,1.0786072478348665
PCA,Madelon,198,Explained_Variance,1.0776874652991455
PCA,Madelon,199,Explained_Variance,1.0708468498123096
PCA,Madelon,200,Explained_Variance,1.068074322330151
PCA,Madelon,201,Explained_Variance,1.0612517480649537
PCA,Madelon,202,Explained_Variance,1.0590352814822876
PCA,Madelon,203,Explained_Variance,1.056617890189808
PCA,Madelon,204,Explained_Variance,1.054619081009973
PCA,Madelon,205,Explained_Variance,1.0480152878701046
PCA,Madelon,206,Explained_Variance,1.0463852656200991
PCA,Madelon,207,Explained_Variance,1.040876267511532
PCA,Madelon,208,Explained_Variance,1.0383794469932102
PCA,Madelon,209,Explained_Variance,1.0362481774345418
PCA,Madelon,210,Explained_Variance,1.0333878123066274
PCA,Madelon,211,Explained_Variance,1.0303537297826963
PCA,Madelon,212,Explained_Variance,1.0248882522142937
PCA,Madelon,213,Explained_Variance,1.0234314068045818
PCA,Madelon,214,Explained_Variance,1.0175765633606422
PCA,Madelon,215,Explained_Variance,1.0144388901474295
PCA,Madelon,216,Explained_Variance,1.0121294413358874
PCA,Madelon,217,Explained_Variance,1.0078385234093508
PCA,Madelon,218,Explained_Variance,1.002648605387184
PCA,Madelon,219,Explained_Variance,1.0009906881168622
